metric,resource_group
kube_apiserver_clusterip_allocator_allocated_ips,apiserver
kube_apiserver_clusterip_allocator_allocation_errors_total,apiserver
kube_apiserver_clusterip_allocator_allocation_total,apiserver
kube_apiserver_clusterip_allocator_available_ips,apiserver
kube_apiserver_nodeport_allocator_allocated_ports,apiserver
kube_apiserver_nodeport_allocator_available_ports,apiserver
kube_apiserver_pod_logs_backend_tls_failure_total,apiserver
kube_apiserver_pod_logs_insecure_backend_total,apiserver
kube_certificatesigningrequest_cert_length,certificatesigningrequest
kube_certificatesigningrequest_condition,certificatesigningrequest
kube_configmap_info,configmap
kube_cronjob_info,cronjob
kube_cronjob_next_schedule_time,cronjob
kube_cronjob_spec_failed_job_history_limit,cronjob
kube_cronjob_spec_starting_deadline_seconds,cronjob
kube_cronjob_spec_successful_job_history_limit,cronjob
kube_cronjob_spec_suspend,cronjob
kube_cronjob_status_active,cronjob
kube_cronjob_status_last_schedule_time,cronjob
kube_cronjob_status_last_successful_time,cronjob
kube_customresource_verticalpodautoscaler_spec_updatepolicy_updatemode,customresource
kube_customresource_verticalpodautoscaler_status_recommendation_containerrecommendations_lowerbound_cpu,customresource
kube_customresource_verticalpodautoscaler_status_recommendation_containerrecommendations_lowerbound_memory,customresource
kube_customresource_verticalpodautoscaler_status_recommendation_containerrecommendations_target_cpu,customresource
kube_customresource_verticalpodautoscaler_status_recommendation_containerrecommendations_target_memory,customresource
kube_customresource_verticalpodautoscaler_status_recommendation_containerrecommendations_uncappedtarget_cpu,customresource
kube_customresource_verticalpodautoscaler_status_recommendation_containerrecommendations_uncappedtarget_memory,customresource
kube_customresource_verticalpodautoscaler_status_recommendation_containerrecommendations_upperbound_cpu,customresource
kube_customresource_verticalpodautoscaler_status_recommendation_containerrecommendations_upperbound_memory,customresource
kube_daemonset_metadata_generation,daemonset
kube_daemonset_status_current_number_scheduled,daemonset
kube_daemonset_status_desired_number_scheduled,daemonset
kube_daemonset_status_number_available,daemonset
kube_daemonset_status_number_misscheduled,daemonset
kube_daemonset_status_number_ready,daemonset
kube_daemonset_status_number_unavailable,daemonset
kube_daemonset_status_observed_generation,daemonset
kube_daemonset_status_updated_number_scheduled,daemonset
kube_deployment_metadata_generation,deployment
kube_deployment_spec_paused,deployment
kube_deployment_spec_replicas,deployment
kube_deployment_spec_strategy_rollingupdate_max_surge,deployment
kube_deployment_spec_strategy_rollingupdate_max_unavailable,deployment
kube_deployment_status_condition,deployment
kube_deployment_status_observed_generation,deployment
kube_deployment_status_replicas,deployment
kube_deployment_status_replicas_available,deployment
kube_deployment_status_replicas_ready,deployment
kube_deployment_status_replicas_unavailable,deployment
kube_deployment_status_replicas_updated,deployment
kube_endpoint_address,endpoint
kube_endpoint_address_available,endpoint
kube_endpoint_address_not_ready,endpoint
kube_endpoint_info,endpoint
kube_endpoint_ports,endpoint
kube_horizontalpodautoscaler_info,horizontalpodautoscaler
kube_horizontalpodautoscaler_metadata_generation,horizontalpodautoscaler
kube_horizontalpodautoscaler_spec_max_replicas,horizontalpodautoscaler
kube_horizontalpodautoscaler_spec_min_replicas,horizontalpodautoscaler
kube_horizontalpodautoscaler_spec_target_metric,horizontalpodautoscaler
kube_horizontalpodautoscaler_status_condition,horizontalpodautoscaler
kube_horizontalpodautoscaler_status_current_replicas,horizontalpodautoscaler
kube_horizontalpodautoscaler_status_desired_replicas,horizontalpodautoscaler
kube_horizontalpodautoscaler_status_target_metric,horizontalpodautoscaler
kube_ingress_info,ingress
kube_ingress_path,ingress
kube_ingress_tls,ingress
kube_job_complete,job
kube_job_failed,job
kube_job_info,job
kube_job_owner,job
kube_job_spec_active_deadline_seconds,job
kube_job_spec_completions,job
kube_job_spec_parallelism,job
kube_job_status_active,job
kube_job_status_completion_time,job
kube_job_status_failed,job
kube_job_status_start_time,job
kube_job_status_succeeded,job
kube_lease_owner,lease
kube_lease_renew_time,lease
kube_limitrange,limitrange
kube_mutatingwebhookconfiguration_info,mutatingwebhookconfiguration
kube_mutatingwebhookconfiguration_webhook_clientconfig_service,mutatingwebhookconfiguration
kube_namespace_labels,namespace
kube_namespace_status_condition,namespace
kube_namespace_status_phase,namespace
kube_networkpolicy_spec_egress_rules,networkpolicy
kube_networkpolicy_spec_ingress_rules,networkpolicy
kube_node_info,node
kube_node_labels,node
kube_node_role,node
kube_node_spec_taint,node
kube_node_spec_unschedulable,node
kube_node_status_addresses,node
kube_node_status_allocatable,node
kube_node_status_capacity,node
kube_node_status_condition,node
kube_persistentvolume_capacity_bytes,persistentvolume
kube_persistentvolume_claim_ref,persistentvolume
kube_persistentvolume_deletion_timestamp,persistentvolume
kube_persistentvolume_info,persistentvolume
kube_persistentvolume_labels,persistentvolume
kube_persistentvolume_status_phase,persistentvolume
kube_persistentvolumeclaim_access_mode,persistentvolumeclaim
kube_persistentvolumeclaim_deletion_timestamp,persistentvolumeclaim
kube_persistentvolumeclaim_info,persistentvolumeclaim
kube_persistentvolumeclaim_labels,persistentvolumeclaim
kube_persistentvolumeclaim_resource_requests_storage_bytes,persistentvolumeclaim
kube_persistentvolumeclaim_status_phase,persistentvolumeclaim
kube_pod_container_info,pod
kube_pod_container_resource_limits,pod
kube_pod_container_resource_requests,pod
kube_pod_container_state_started,pod
kube_pod_container_status_last_terminated_exitcode,pod
kube_pod_container_status_last_terminated_reason,pod
kube_pod_container_status_last_terminated_timestamp,pod
kube_pod_container_status_ready,pod
kube_pod_container_status_restarts_total,pod
kube_pod_container_status_terminated_reason,pod
kube_pod_container_status_waiting,pod
kube_pod_container_status_waiting_reason,pod
kube_pod_deletion_timestamp,pod
kube_pod_info,pod
kube_pod_init_container_info,pod
kube_pod_init_container_resource_limits,pod
kube_pod_init_container_resource_requests,pod
kube_pod_init_container_status_ready,pod
kube_pod_init_container_status_restarts_total,pod
kube_pod_init_container_status_terminated_reason,pod
kube_pod_init_container_status_waiting,pod
kube_pod_init_container_status_waiting_reason,pod
kube_pod_ips,pod
kube_pod_labels,pod
kube_pod_owner,pod
kube_pod_resource_limit,pod
kube_pod_resource_request,pod
kube_pod_scheduler,pod
kube_pod_service_account,pod
kube_pod_spec_volumes_persistentvolumeclaims_info,pod
kube_pod_spec_volumes_persistentvolumeclaims_readonly,pod
kube_pod_start_time,pod
kube_pod_status_container_ready_time,pod
kube_pod_status_initialized_time,pod
kube_pod_status_phase,pod
kube_pod_status_qos_class,pod
kube_pod_status_ready,pod
kube_pod_status_ready_time,pod
kube_pod_status_reason,pod
kube_pod_status_scheduled_time,pod
kube_pod_status_unschedulable,pod
kube_pod_tolerations,pod
kube_poddisruptionbudget_labels,poddisruptionbudget
kube_poddisruptionbudget_status_current_healthy,poddisruptionbudget
kube_poddisruptionbudget_status_desired_healthy,poddisruptionbudget
kube_poddisruptionbudget_status_expected_pods,poddisruptionbudget
kube_poddisruptionbudget_status_observed_generation,poddisruptionbudget
kube_poddisruptionbudget_status_pod_disruptions_allowed,poddisruptionbudget
kube_replicaset_owner,replicaset
kube_replicaset_spec_replicas,replicaset
kube_replicaset_status_fully_labeled_replicas,replicaset
kube_replicaset_status_ready_replicas,replicaset
kube_replicaset_status_replicas,replicaset
kube_replicationcontroller_metadata_generation,replicationcontroller
kube_replicationcontroller_owner,replicationcontroller
kube_replicationcontroller_spec_replicas,replicationcontroller
kube_replicationcontroller_status_available_replicas,replicationcontroller
kube_replicationcontroller_status_fully_labeled_replicas,replicationcontroller
kube_replicationcontroller_status_observed_generation,replicationcontroller
kube_replicationcontroller_status_ready_replicas,replicationcontroller
